category,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights
Cricket ,ITWOSERVICES CRICKET NET 100X10 CRICKET NET NYLON HDPE Cricket Net  (Green),4.4,"1,615",4000,I2SERVICES,4.4,,Cricket Practice Net NYLON HDPE Material W x H x D: 10 x 10
Cricket ,ITWOSERVICES CRICKET NET GROUND BOUNDARY NET 10X10 FEET Cricket Net  (Green),4.4,152,600,I2SERVICES,4.4,10 X  10 GREEN CRICKET NET HDPE NYLON.,Cricket HDPE NYLON Material W x H x D: 3.048 x 3.048
Cricket ,VICTORY Medium Weight ( Pack of 1 ) Rubber Cricket Tennis Ball Cricket Rubber Ball  (Pack of 1),3.7,59,199,VictoryOutlets,4.7,,Cricket Rubber Ball Weight: 110 g
Cricket ,LYCAN Junior Cricket Bat Size 3 For Age Group 8 Years PVC/Plastic Cricket  Bat  (400 g),3.9,249,,sellguru,4.8,Lycan Junior Cricket Bat Size 3 For Age Group 8 Years .,Age Group 8 Yrs Blade Made of PVC/Plastic Beginner Playing Level Bat Grade: Grade 1 Sport Type: Cricket Weight Range 400 g
Cricket ,Star X Thrill Fox Heavy Duty First Grade HD Plastic Cricket Bat PVC/Plastic Cricket  Bat  (1 kg),4,349,749,STARX,4.5,"StarX Brings you ""Thrill Fox Heavy Duty First Grade HD Plastic Cricket Bat 8 Number"". Its Heavy Duty Cricket Bat for every player who plays Cricket. The Bat is made of pure hard plastic which makes it Unbreakable and Long Lasting. The Color of this Bat is Yellow. Suitability and Bat Size - Heavy Duty Plastic constructed Bat is Perfect Cricket Bat to play with Plastic Ball, Cosco Ball, Wind Ball and Tennis Ball. THE SIZE OF BAT IS 8 NUMBER. Material - This Bat is made and designed with very good quality plastic material. Balance and Performence - The Ball is well balanced to provide you comfort and performance. More Power in Less Effort - This Bat will give 25% more Power to you Every Shot with Minimum Effort. Durablility - Bat is made with Heavy Duty Plastic which makes the bat more Durable and Long Lasting.",Age Group 15+ Yrs Blade Made of PVC/Plastic Beginner Playing Level Bat Grade: Grade 1 Sport Type: Cricket Weight Range 1 kg
Cricket ,"Wetics Regular Wicket Keeping Gloves Combo With Inner Gloves (Black,Men) Wicket Keeping Gloves  (Black)",4.3,589,1999,Wetics,4.8,Good quality  product.  It comes in various range & variety and hence fulfills the need of all.,"Left & Right Gloves For Men & Women For Cricket Weight: 500 g Material: PU, Foam, Leather"
Badminton ,"Adrenex by Flipkart R501 Full Graphite Badminton Racquet Black, Orange Strung  (Pack of: 1, 90 g)",4.1,949,1375,BTPLD,4.4,"Gear up for a great game of badminton!
Adrenex R501 Strung Badminton Racquet has the ideal racquet size making it the top choice for advanced level, professional players. The ultra-lightweight racquet helps to enhance your performance. The graphite body and flexible graphite shaft make it highly durable, strong and flexible and allows stellar smashes. It features nanotubes technology, unipiece frame, support control cap, balanced swing weight and PVC foam embossed grip. It has an isometric frame for an extended sweet spot and string tension of 26-28 lbs.
About Adrenex-
Adrenex is a sports and fitness brand from the house of Flipkart that designs equipment as well as apparel. It stands for the importance of a regular fitness regime essential to lead a fit and healthy life. Catering to all ages across the country, the brand is all about a zest for life and energy.",Cover: Full Cover Strung Type:- Strung Grip Size: G3 - 8.89 cm Weight: 90 g Head Shape:- Oval Shape Beam Width:- 22 mm
Badminton ,"LI-NING XP-80-IV Grey, Blue Strung Badminton Racquet  (Pack of: 2, 86 g)",4,749,1980,RIDNISHretail,4.7,"Li-Ning's all time best seller XP-IV series is the best choice for beginners who wants quick fire power and flexibility. The duraluminum power frame helps reduces air resistance and gives you extra power to smash. If you are just getting started, then this is your go-to racket.Duraluminum Slim Shaft: This special light weight material is a mix of aluminium and ferrum that allows the racket to have quick fire power and medium flexibility at the same time.",Cover: Half Cover Strung Type:- Strung Grip Size: G4 - 8.25 cm Weight: 86 g Head Shape:- Oval Shape Beam Width:- 7 mm
Badminton ,Monika Sports 2 pc Single Shaft Racquet With 3 Feather shuttle & 1 Racquet Cover Badminton Kit,3.9,299,899,MONIKASPORTSINDUSTRIES,4.7,,"Sport Type: Badminton Ideal For: Senior, Junior Color: Multicolor Width: 26 cm, Height: 66 cm, Depth: 14 cm"
Badminton ,"Nongi Designer D1 Feather Shuttle cork for Indoor, Outdoor Badminton Sports Feather Shuttle  - Multicolor  (Medium, 77, Pack of 10)",3.9,215,400,PadmawatiSports,4.9,"Designed for everyday use, the NONGI  Shuttle offers high durability and to make your matches worthwhile. A shuttlecock is made of 16 feathers glued and bound together with a string and tucked into a rounded rubber cork base . The pace and speed of these shuttlecocks are Medium slow, which is appropriate for practice and training purpose . In one box, you can find 10 shuttlecocks. These shuttlecocks have DESIGNER FEATHERS, which makes shuttlecock attractive and increases the visibility of it  . With these shuttlecocks, you can excel in your learning and hit the shots with ease.","Feather Rubber Base Cork Base Material Superfine Hand Picked Feathers Skirt Material Medium, 77"
